模型,评测参数,Frame,结果,逻辑链Acc,相关性Acc,总Acc,Level 1,Level 2,Level 3,备注
Qwen3-VL-235B-A22B-Think-sub,"temperature: 1.0
top_k: 20
top_p: 0.95
max_tokens: 40960
repetition_penalty: 1.0
presence_penalty: 0.0",64.0,26.3,26.98398576512455,25.9995183044316,44.9,31.96223316912972,27.48159303882196,22.25574712643678,
Qwen3-VL-235B-A22B-Think-sub,"temperature: 1.0
top_k: 20
top_p: 0.95
max_tokens: 40960
repetition_penalty: 1.0
presence_penalty: 0.0",512.0,28.1,27.76690391459075,28.27552986512524,47.2,32.59646962233169,30.32295850066934,23.87931034482759,
KimiVL-16B-A3B-Think,"temperature: 0.8
max_tokens: 32768",64.0,11.7,9.918446026097271,12.65655105973025,27.3,16.38752052545156,10.61077643908969,9.732998084291188,
KimiVL-16B-A3B-Think-sub,"temperature: 0.8
max_tokens: 32768",64.0,15.7,17.11298932384341,14.88439306358381,32.4,21.82266009852217,14.01104417670683,13.26149425287356,
MiMo-VL-7B-RL-2508,"n_frame: 64
temperature: 0.3
top_k: 20
top_p: 0.95
max_tokens: 16384",64.0,11.9,10.76957295373665,12.45183044315992,27.0,16.0940065681445,12.47322623828648,8.953544061302683,
MiMo-VL-7B-RL-2508-sub,"n_frame: 64
temperature: 0.3
top_k: 20
top_p: 0.95
max_tokens: 16384",64.0,19.4,20.32325029655991,18.90655105973025,36.0,24.92816091954023,18.76506024096386,16.63912835249042,
GLM4.1v-think,"max_tokens: 16384
temperature: 0.8
top_p: 0.6
top_k: 2
num_frames: 64",64.0,9.4,7.252372479240807,10.621387283237,23.7,14.07224958949097,7.505020080321285,8.117816091954023,
GLM4.1v-think-sub,"max_tokens: 16384
temperature: 0.8
top_p: 0.6
top_k: 2
num_frames: 64",64.0,14.0,14.40094899169632,13.76445086705202,30.3,18.78899835796387,13.17269076305221,11.77083333333333,
GLM4.5v-think,"max_tokens: 16384
temperature: 1.0
top_p: 0.0001
top_k: 1
num_frames: 64",64.0,13.3,10.63315539739027,14.72784200385357,29.6,14.86247947454844,14.67034805890228,11.38409961685824,
GLM4.5v-think-sub,"max_tokens: 16384
temperature: 1.0
top_p: 0.0001
top_k: 1
num_frames: 64",64.0,21.8,24.28825622775801,20.52023121387283,39.2,26.17610837438423,21.74531459170013,19.38697318007663,
GLM4.6-flash,"temperature: 0.8
repetition_penalty: 1.1
top_p: 0.6
top_k: 2
num_frames: 64",64.0,12.7,10.30249110320285,13.98121387283237,27.7,17.33990147783251,13.39022757697456,9.474377394636015,
GLM4.6-flash-sub,"temperature: 0.8
repetition_penalty: 1.1
top_p: 0.6
top_k: 2
num_frames: 64",64.0,19.8,19.96144721233689,19.64113680154142,37.4,26.78571428571428,19.38755020080321,15.91355363984674,
Qwen3.5-4B,"temperature=1.0,
top_p=0.95,
top_k=20,
presence_penalty=1.5,
max_new_tokens=32768,",64.0,11.6,10.02965599051008,12.37957610789981,26.5,14.90353037766831,11.10107095046854,9.924568965517242,
Qwen3.5-4B-sub,"temperature=1.0,
top_p=0.95,
top_k=20,
presence_penalty=1.5,
max_new_tokens=32768,",64.0,20.7,21.39679715302491,20.35163776493256,38.8,26.23357963875205,21.02409638554217,17.28328544061302,
Qwen3.5-9B,"temperature=1.0,
top_p=0.95,
top_k=20,
presence_penalty=1.5,
max_new_tokens=32768,",64.0,13.7,13.12425860023725,13.94508670520231,28.9,16.69745484400657,12.63052208835341,12.61733716475096,
Qwen3.5-9B,"temperature=1.0,
top_p=0.95,
top_k=20,
presence_penalty=1.5,
max_new_tokens=32768,",512.0,19.5,16.84311981020166,20.98988439306358,36.8,21.83908045977011,24.48962516733601,14.64200191570881,
Qwen3.5-9B-sub,"temperature=1.0,
top_p=0.95,
top_k=20,
presence_penalty=1.5,
max_new_tokens=32768,",64.0,23.2,22.24792408066429,23.63921001926782,40.3,28.26354679802956,24.73226238286479,19.03615900383142,
Qwen3.5-9B-sub,"temperature=1.0,
top_p=0.95,
top_k=20,
presence_penalty=1.5,
max_new_tokens=32768,",512.0,26.2,26.80308422301305,25.84296724470135,44.5,30.47413793103448,30.11880856760375,20.85727969348659,
Qwen3.5-27B,"temperature=1.0,
top_p=0.95,
top_k=20,
presence_penalty=1.5,
max_new_tokens=32768,",64.0,17.6,16.42497034400949,18.18400770712909,34.5,19.98152709359606,18.50568942436412,15.48491379310345,
Qwen3.5-27B,"temperature=1.0,
top_p=0.95,
top_k=20,
presence_penalty=1.5,
max_new_tokens=32768,",512.0,19.5,16.47390272835113,20.59248554913295,37.4,22.31732348111658,23.14926372155288,14.43127394636015,
Qwen3.5-9B-27B-sub,"temperature=1.0,
top_p=0.95,
top_k=20,
presence_penalty=1.5,
max_new_tokens=32768,",64.0,29.6,31.67111506524318,28.54046242774567,47.6,34.997947454844,30.58567603748326,25.83812260536398,
Qwen3.5-9B-27B-sub,"temperature=1.0,
top_p=0.95,
top_k=20,
presence_penalty=1.5,
max_new_tokens=32768,",512.0,31.4,31.25741399762752,31.51493256262042,49.6,34.35344827586207,36.39223560910307,26.16139846743295,
Qwen3.5-A3B,"temperature=1.0,
top_p=0.95,
top_k=20,
presence_penalty=1.5,
max_new_tokens=32768,",64.0,15.6,14.62930011862396,16.07658959537572,32.6,18.15476190476191,15.84672021419009,13.86015325670498,
Qwen3.5-A3B,"temperature=1.0,
top_p=0.95,
top_k=20,
presence_penalty=1.5,
max_new_tokens=32768,",512.0,12.2,11.05130486358244,12.78901734104046,28.5,13.93267651888342,11.39223560910308,11.71815134099617,
Qwen3.5-A3B-sub,"temperature=1.0,
top_p=0.95,
top_k=20,
presence_penalty=1.5,
max_new_tokens=32768,",64.0,25.8,27.53855278766311,24.85549132947977,43.9,31.2828407224959,24.89457831325301,23.24473180076629,
Qwen3.5-A3B-sub,"temperature=1.0,
top_p=0.95,
top_k=20,
presence_penalty=1.5,
max_new_tokens=32768,",512.0,23.9,24.69750889679715,23.39836223506744,41.5,29.54022988505747,24.49966532797858,20.07662835249042,
Qwen3.5-A10B,"temperature=1.0,
top_p=0.95,
top_k=20,
presence_penalty=1.5,
max_new_tokens=32768,",64.0,16.3,15.26986951364175,16.79913294797688,33.0,18.95730706075534,15.99062918340027,14.8838601532567,
Qwen3.5-A10B,"temperature=1.0,
top_p=0.95,
top_k=20,
presence_penalty=1.5,
max_new_tokens=32768,",512.0,14.0,12.89590747330961,14.54720616570328,30.6,15.77175697865353,13.95749665327978,12.92145593869732,
Qwen3.5-A10B-sub,"temperature=1.0,
top_p=0.95,
top_k=20,
presence_penalty=1.5,
max_new_tokens=32768,",64.0,26.7,27.25533807829181,26.42100192678227,45.1,30.11288998357964,27.88152610441767,23.89607279693487,
Qwen3.5-A10B-sub,"temperature=1.0,
top_p=0.95,
top_k=20,
presence_penalty=1.5,
max_new_tokens=32768,",512.0,25.1,26.47983392645314,24.33766859344894,43.4,27.44663382594417,25.56392235609103,23.3764367816092,
Qwen3.5-A17B,"temperature=1.0,
top_p=0.95,
top_k=20,
presence_penalty=1.5,
max_new_tokens=32768,",64.0,,,,,,,,
Qwen3.5-A17B,"temperature=1.0,
top_p=0.95,
top_k=20,
presence_penalty=1.5,
max_new_tokens=32768,",512.0,,,,,,,,
Qwen3.5-A17B-sub,"temperature=1.0,
top_p=0.95,
top_k=20,
presence_penalty=1.5,
max_new_tokens=32768,",64.0,,,,,,,,
Qwen3.5-A17B-sub,"temperature=1.0,
top_p=0.95,
top_k=20,
presence_penalty=1.5,
max_new_tokens=32768,",512.0,,,,,,,,
